heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp5,fp6,5-10%,20,0.07565870297142716,0.07910790242141405,0.05068033918359298,0.09691004806591898,1172066,90103,0.07687536367405931,0.03007518796992481
fp5,fp6,>50%,31,0.7525421245642359,0.7537979520097814,0.5194139194139195,0.9878510256920932,1475420,1040242,0.705048054113405,0.04661654135338346
fp5,fp7,0-1%,2,0.0027923583984375,0.0027923583984375,0.0013427734375,0.004241943359375,131072,366,0.0027923583984375,0.0030075187969924814
fp5,fp7,1-5%,17,0.03034534325121121,0.0289154052734375,0.013275146484375,0.0487518310546875,1114106,33808,0.030345406989999157,0.02556390977443609
fp5,fp7,10-25%,18,0.15807812219534492,0.15655517578125,0.1002197265625,0.2376251220703125,1179217,186431,0.15809727980515884,0.02706766917293233
fp5,fp7,25-50%,24,0.35083770751953125,0.35028076171875,0.2541656494140625,0.4925384521484375,1572864,551820,0.35083770751953125,0.03609022556390978
fp5,fp7,5-10%,24,0.07001875257107372,0.0655059814453125,0.050689697265625,0.09722900390625,1572403,110102,0.07002148940188997,0.03609022556390978
fp5,fp7,>50%,9,0.6411590576171875,0.6569671630859375,0.514495849609375,0.858062744140625,589824,378171,0.6411590576171875,0.013533834586466165
fp6,fp1,0-1%,4,0.0047607421875,0.0047454833984375,0.00030517578125,0.009246826171875,262144,1248,0.0047607421875,0.006666666666666667
fp6,fp1,1-5%,24,0.02832910412566611,0.0275153229585548,0.010009765625,0.048828125,1572611,44552,0.028329955723316192,0.04
fp6,fp1,10-25%,25,0.14814390162227337,0.13892449490325337,0.114715576171875,0.2269439697265625,1638360,242713,0.1481438755829,0.041666666666666664
